% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 100.0000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-04 T 17:32:22 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
3.76131640e+00, -3.4036e+01, 1.7988e+02, 5.2087e+00, -1.5757e+02, -3.9245e+01, -2.2545e+01
3.84702147e+00, -3.4138e+01, -1.7916e+02, 5.2466e+00, -1.5798e+02, -3.9384e+01, -2.1177e+01
3.93467942e+00, -3.4084e+01, 1.7978e+02, 5.2792e+00, -1.5836e+02, -3.9363e+01, -2.1859e+01
4.02433474e+00, -3.4039e+01, -1.7994e+02, 5.3218e+00, -1.5882e+02, -3.9361e+01, -2.1118e+01
4.11603293e+00, -3.4089e+01, 1.7968e+02, 5.3502e+00, -1.5920e+02, -3.9439e+01, -2.1117e+01
4.20982055e+00, -3.4114e+01, -1.7941e+02, 5.3777e+00, -1.5965e+02, -3.9492e+01, -1.9763e+01
4.30574521e+00, -3.4148e+01, 1.7979e+02, 5.4017e+00, -1.6001e+02, -3.9550e+01, -2.0206e+01
4.40385561e+00, -3.3993e+01, -1.7971e+02, 5.4314e+00, -1.6042e+02, -3.9424e+01, -1.9284e+01
4.50420154e+00, -3.4050e+01, -1.7981e+02, 5.4595e+00, -1.6083e+02, -3.9510e+01, -1.8975e+01
4.60683394e+00, -3.4068e+01, -1.7984e+02, 5.4862e+00, -1.6124e+02, -3.9554e+01, -1.8602e+01
4.71180492e+00, -3.3933e+01, -1.7978e+02, 5.5134e+00, -1.6155e+02, -3.9446e+01, -1.8232e+01
4.81916776e+00, -3.3996e+01, 1.7993e+02, 5.5310e+00, -1.6197e+02, -3.9527e+01, -1.8107e+01
4.92897696e+00, -3.3901e+01, -1.7966e+02, 5.5601e+00, -1.6229e+02, -3.9461e+01, -1.7365e+01
5.04128826e+00, -3.4010e+01, 1.7972e+02, 5.5759e+00, -1.6272e+02, -3.9586e+01, -1.7560e+01
5.15615869e+00, -3.4033e+01, -1.7975e+02, 5.6047e+00, -1.6301e+02, -3.9637e+01, -1.6737e+01
5.27364654e+00, -3.4008e+01, 1.7980e+02, 5.6287e+00, -1.6338e+02, -3.9636e+01, -1.6824e+01
5.39381146e+00, -3.3977e+01, 1.7941e+02, 5.6480e+00, -1.6376e+02, -3.9625e+01, -1.6832e+01
5.51671445e+00, -3.4084e+01, 1.7968e+02, 5.6703e+00, -1.6407e+02, -3.9755e+01, -1.6251e+01
5.64241790e+00, -3.4100e+01, 1.7993e+02, 5.6753e+00, -1.6443e+02, -3.9775e+01, -1.5639e+01
5.77098562e+00, -3.4106e+01, -1.7984e+02, 5.7003e+00, -1.6471e+02, -3.9807e+01, -1.5129e+01
5.90248287e+00, -3.4084e+01, 1.7979e+02, 5.7119e+00, -1.6511e+02, -3.9796e+01, -1.5098e+01
6.03697641e+00, -3.3979e+01, -1.7987e+02, 5.7298e+00, -1.6537e+02, -3.9709e+01, -1.4500e+01
6.17453451e+00, -3.4099e+01, 1.7931e+02, 5.7466e+00, -1.6568e+02, -3.9845e+01, -1.5012e+01
6.31522699e+00, -3.4045e+01, 1.7980e+02, 5.7644e+00, -1.6601e+02, -3.9809e+01, -1.4192e+01
6.45912529e+00, -3.3954e+01, -1.7995e+02, 5.7700e+00, -1.6630e+02, -3.9724e+01, -1.3651e+01
