% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 5.000000 Hz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 13:35:59 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
3.06960741e+01, -3.3855e+01, 1.8086e+02, -5.3544e+01, -1.0823e+02, 1.9689e+01, -7.0914e+01
3.11560775e+01, -3.3954e+01, 1.8046e+02, -5.2145e+01, -1.1531e+02, 1.8191e+01, -6.4232e+01
3.16229745e+01, -3.3888e+01, 1.7968e+02, -5.2898e+01, -1.0940e+02, 1.9010e+01, -7.0916e+01
3.20968682e+01, -3.3842e+01, 1.8071e+02, -5.1603e+01, -1.1063e+02, 1.7760e+01, -6.8662e+01
3.25778636e+01, -3.3866e+01, 1.8002e+02, -5.2539e+01, -1.1020e+02, 1.8673e+01, -6.9780e+01
3.30660670e+01, -3.3966e+01, 1.7985e+02, -5.2391e+01, -1.0704e+02, 1.8426e+01, -7.3107e+01
3.35615866e+01, -3.3836e+01, 1.7993e+02, -5.2365e+01, -1.0906e+02, 1.8530e+01, -7.1010e+01
3.40645319e+01, -3.3908e+01, 1.7986e+02, -5.1939e+01, -1.0528e+02, 1.8030e+01, -7.4863e+01
3.45750142e+01, -3.3836e+01, 1.7970e+02, -5.0549e+01, -1.0378e+02, 1.6713e+01, -7.6525e+01
3.50931464e+01, -3.3829e+01, 1.8000e+02, -5.2736e+01, -1.0742e+02, 1.8907e+01, -7.2579e+01
3.56190432e+01, -3.3907e+01, 1.7941e+02, -5.1864e+01, -1.1058e+02, 1.7957e+01, -7.0008e+01
3.61528210e+01, -3.3947e+01, 1.8008e+02, -5.1440e+01, -1.1412e+02, 1.7493e+01, -6.5802e+01
3.66945979e+01, -3.3853e+01, 1.7991e+02, -5.1570e+01, -1.1219e+02, 1.7718e+01, -6.7902e+01
3.72444937e+01, -3.4001e+01, 1.7949e+02, -5.1567e+01, -1.0531e+02, 1.7566e+01, -7.5191e+01
3.78026300e+01, -3.3947e+01, 1.8026e+02, -5.1752e+01, -1.1440e+02, 1.7805e+01, -6.5337e+01
3.83691305e+01, -3.3890e+01, 1.7982e+02, -5.0217e+01, -1.0865e+02, 1.6327e+01, -7.1537e+01
3.89441204e+01, -3.3966e+01, 1.7957e+02, -5.0703e+01, -1.0706e+02, 1.6737e+01, -7.3370e+01
3.95277269e+01, -3.3811e+01, 1.8026e+02, -5.0680e+01, -1.0357e+02, 1.6870e+01, -7.6173e+01
4.01200793e+01, -3.3992e+01, 1.7974e+02, -5.0008e+01, -1.0880e+02, 1.6016e+01, -7.1466e+01
4.07213084e+01, -3.3803e+01, 1.7960e+02, -4.9579e+01, -1.1357e+02, 1.5776e+01, -6.6839e+01
4.13315474e+01, -3.3840e+01, 1.8000e+02, -5.0490e+01, -1.1270e+02, 1.6650e+01, -6.7301e+01
4.19509314e+01, -3.3954e+01, 1.8006e+02, -5.0266e+01, -1.1361e+02, 1.6312e+01, -6.6335e+01
4.25795972e+01, -3.3912e+01, 1.7964e+02, -5.0649e+01, -1.0776e+02, 1.6737e+01, -7.2593e+01
4.32176840e+01, -3.3811e+01, 1.7949e+02, -5.0971e+01, -1.0631e+02, 1.7160e+01, -7.4197e+01
4.38653331e+01, -3.3893e+01, 1.8007e+02, -4.9906e+01, -1.0455e+02, 1.6012e+01, -7.5386e+01
4.45226877e+01, -3.3942e+01, 1.8106e+02, -4.9820e+01, -1.0894e+02, 1.5879e+01, -6.9998e+01
4.51898932e+01, -3.3916e+01, 1.8014e+02, -5.0626e+01, -1.1044e+02, 1.6710e+01, -6.9418e+01
4.58670973e+01, -3.4012e+01, 1.8031e+02, -4.9118e+01, -1.0529e+02, 1.5106e+01, -7.4401e+01
4.65544498e+01, -3.3907e+01, 1.8063e+02, -4.9954e+01, -1.0630e+02, 1.6048e+01, -7.3073e+01
4.72521027e+01, -3.3953e+01, 1.8094e+02, -4.9587e+01, -1.0149e+02, 1.5634e+01, -7.7570e+01
4.79602106e+01, -3.3715e+01, 1.8064e+02, -4.9502e+01, -1.1043e+02, 1.5788e+01, -6.8926e+01
4.86789299e+01, -3.3895e+01, 1.7983e+02, -4.9555e+01, -1.0451e+02, 1.5660e+01, -7.5666e+01
4.94084198e+01, -3.3972e+01, 1.7869e+02, -4.9643e+01, -1.1167e+02, 1.5671e+01, -6.9634e+01
5.01488416e+01, -3.3830e+01, 1.7937e+02, -4.8492e+01, -1.0603e+02, 1.4662e+01, -7.4603e+01
5.09003592e+01, -3.3849e+01, 1.8040e+02, -4.8996e+01, -1.1033e+02, 1.5147e+01, -6.9274e+01
5.16631389e+01, -3.3756e+01, 1.7900e+02, -4.9357e+01, -1.0917e+02, 1.5601e+01, -7.1829e+01
5.24373494e+01, -3.3858e+01, 1.7975e+02, -4.8380e+01, -1.0740e+02, 1.4522e+01, -7.2845e+01
5.32231619e+01, -3.3790e+01, 1.8056e+02, -4.8505e+01, -1.0509e+02, 1.4715e+01, -7.4345e+01
5.40207505e+01, -3.3858e+01, 1.7960e+02, -4.9399e+01, -1.0872e+02, 1.5541e+01, -7.1679e+01
5.48302916e+01, -3.3869e+01, 1.8051e+02, -4.8342e+01, -1.0976e+02, 1.4473e+01, -6.9733e+01
5.56519642e+01, -3.3953e+01, 1.7953e+02, -4.8566e+01, -1.1008e+02, 1.4613e+01, -7.0391e+01
5.64859501e+01, -3.3901e+01, 1.8072e+02, -4.7325e+01, -1.0950e+02, 1.3424e+01, -6.9774e+01
5.73324340e+01, -3.3901e+01, 1.7947e+02, -4.7640e+01, -1.0228e+02, 1.3739e+01, -7.8248e+01
5.81916031e+01, -3.3705e+01, 1.7967e+02, -4.8021e+01, -1.0176e+02, 1.4316e+01, -7.8573e+01
5.90636474e+01, -3.3944e+01, 1.8091e+02, -4.8103e+01, -1.0524e+02, 1.4159e+01, -7.3853e+01
