% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 20.00000 MHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 14:25:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
7.44204637e+01, -3.4279e+01, -1.8064e+02, -3.9141e+01, -1.0978e+02, 4.8619e+00, -7.0858e+01
7.69095203e+01, -3.4278e+01, -1.8011e+02, -3.9548e+01, -1.0387e+02, 5.2697e+00, -7.6244e+01
7.94818255e+01, -3.4296e+01, -1.7933e+02, -3.8441e+01, -1.0849e+02, 4.1453e+00, -7.0840e+01
8.21401637e+01, -3.4188e+01, -1.7975e+02, -3.8856e+01, -1.0365e+02, 4.6678e+00, -7.6093e+01
8.48874123e+01, -3.4089e+01, -1.7885e+02, -3.8162e+01, -1.0859e+02, 4.0732e+00, -7.0263e+01
8.77265450e+01, -3.4163e+01, -1.7948e+02, -3.8102e+01, -1.0435e+02, 3.9390e+00, -7.5130e+01
9.06606349e+01, -3.4198e+01, -1.7991e+02, -3.8424e+01, -1.0914e+02, 4.2260e+00, -7.0772e+01
9.36928580e+01, -3.4058e+01, -1.7963e+02, -3.7516e+01, -1.1154e+02, 3.4581e+00, -6.8089e+01
9.68264964e+01, -3.4316e+01, -1.8092e+02, -3.7460e+01, -1.0492e+02, 3.1437e+00, -7.6003e+01
1.00064942e+02, -3.4022e+01, -1.8042e+02, -3.7398e+01, -1.0640e+02, 3.3757e+00, -7.4021e+01
1.03411700e+02, -3.4343e+01, -1.8009e+02, -3.7301e+01, -1.0570e+02, 2.9585e+00, -7.4391e+01
1.06870394e+02, -3.4236e+01, -1.7990e+02, -3.6992e+01, -1.0980e+02, 2.7561e+00, -7.0097e+01
1.10444766e+02, -3.4032e+01, -1.8009e+02, -3.6550e+01, -1.1129e+02, 2.5186e+00, -6.8800e+01
1.14138687e+02, -3.4340e+01, -1.8006e+02, -3.6042e+01, -1.1029e+02, 1.7020e+00, -6.9769e+01
1.17956153e+02, -3.4237e+01, -1.7950e+02, -3.5893e+01, -1.1073e+02, 1.6560e+00, -6.8766e+01
1.21901299e+02, -3.4202e+01, -1.7952e+02, -3.5586e+01, -1.1121e+02, 1.3839e+00, -6.8306e+01
1.25978393e+02, -3.4233e+01, -1.7941e+02, -3.5511e+01, -1.1003e+02, 1.2786e+00, -6.9384e+01
1.30191849e+02, -3.4275e+01, -1.8046e+02, -3.5449e+01, -1.1191e+02, 1.1739e+00, -6.8549e+01
1.34546227e+02, -3.4559e+01, -1.7975e+02, -3.5262e+01, -1.0934e+02, 7.0328e-01, -7.0418e+01
1.39046242e+02, -3.4125e+01, -1.8074e+02, -3.4846e+01, -1.0839e+02, 7.2092e-01, -7.2348e+01
1.43696763e+02, -3.4290e+01, -1.7980e+02, -3.4523e+01, -1.0755e+02, 2.3346e-01, -7.2248e+01
1.48502825e+02, -3.4215e+01, -1.8085e+02, -3.4192e+01, -1.1005e+02, -2.2509e-02, -7.0806e+01
1.53469630e+02, -3.4233e+01, -1.7933e+02, -3.4387e+01, -1.1134e+02, 1.5432e-01, -6.7992e+01
1.58602555e+02, -3.4314e+01, -1.8073e+02, -3.4011e+01, -1.1174e+02, -3.0268e-01, -6.8990e+01
1.63907154e+02, -3.4181e+01, -1.7996e+02, -3.3708e+01, -1.0994e+02, -4.7252e-01, -7.0015e+01
1.69389170e+02, -3.4310e+01, -1.8015e+02, -3.3324e+01, -1.1000e+02, -9.8596e-01, -7.0149e+01
1.75054537e+02, -3.4142e+01, -1.7939e+02, -3.2968e+01, -1.1198e+02, -1.1742e+00, -6.7409e+01
1.80909386e+02, -3.4258e+01, -1.8121e+02, -3.3012e+01, -1.0939e+02, -1.2458e+00, -7.1823e+01
1.86960057e+02, -3.4366e+01, -1.8097e+02, -3.2903e+01, -1.1214e+02, -1.4635e+00, -6.8824e+01
1.93213097e+02, -3.3982e+01, -1.8064e+02, -3.2522e+01, -1.1311e+02, -1.4600e+00, -6.7527e+01
1.99675276e+02, -3.4308e+01, -1.8048e+02, -3.2354e+01, -1.1021e+02, -1.9543e+00, -7.0269e+01
2.06353587e+02, -3.4052e+01, -1.8024e+02, -3.1919e+01, -1.1257e+02, -2.1331e+00, -6.7672e+01
2.13255261e+02, -3.4309e+01, -1.8048e+02, -3.1904e+01, -1.1164e+02, -2.4052e+00, -6.8844e+01
2.20387767e+02, -3.4219e+01, -1.8036e+02, -3.1592e+01, -1.1172e+02, -2.6267e+00, -6.8636e+01
2.27758826e+02, -3.4066e+01, -1.8030e+02, -3.1340e+01, -1.1182e+02, -2.7264e+00, -6.8473e+01
2.35376416e+02, -3.4508e+01, -1.7973e+02, -3.1244e+01, -1.1159e+02, -3.2646e+00, -6.8144e+01
2.43248784e+02, -3.4428e+01, -1.7829e+02, -3.1049e+01, -1.1140e+02, -3.3792e+00, -6.6889e+01
2.51384449e+02, -3.4320e+01, -1.7914e+02, -3.0804e+01, -1.1279e+02, -3.5162e+00, -6.6355e+01
2.59792218e+02, -3.3913e+01, -1.8012e+02, -3.0675e+01, -1.1400e+02, -3.2383e+00, -6.6123e+01
2.68481193e+02, -3.4264e+01, -1.8006e+02, -3.0088e+01, -1.1436e+02, -4.1755e+00, -6.5702e+01
2.77460778e+02, -3.4168e+01, -1.8115e+02, -3.0152e+01, -1.1431e+02, -4.0161e+00, -6.6845e+01
2.86740693e+02, -3.4202e+01, -1.8016e+02, -2.9860e+01, -1.1378e+02, -4.3419e+00, -6.6383e+01
2.96330983e+02, -3.4297e+01, -1.7980e+02, -2.9642e+01, -1.1419e+02, -4.6543e+00, -6.5607e+01
3.06242028e+02, -3.4314e+01, -1.7962e+02, -2.9588e+01, -1.1544e+02, -4.7265e+00, -6.4178e+01
3.16484557e+02, -3.4519e+01, -1.8010e+02, -2.9360e+01, -1.1430e+02, -5.1595e+00, -6.5805e+01
3.27069655e+02, -3.4225e+01, -1.8008e+02, -2.9105e+01, -1.1495e+02, -5.1196e+00, -6.5131e+01
3.38008782e+02, -3.4243e+01, -1.8006e+02, -2.8753e+01, -1.1529e+02, -5.4902e+00, -6.4772e+01
3.49313777e+02, -3.4281e+01, -1.8047e+02, -2.8780e+01, -1.1491e+02, -5.5002e+00, -6.5562e+01
3.60996878e+02, -3.4279e+01, -1.8056e+02, -2.8434e+01, -1.1556e+02, -5.8455e+00, -6.4997e+01
3.73070729e+02, -3.4224e+01, -1.7995e+02, -2.8027e+01, -1.1668e+02, -6.1966e+00, -6.3273e+01
3.85548401e+02, -3.4383e+01, -1.8057e+02, -2.8061e+01, -1.1731e+02, -6.3222e+00, -6.3261e+01
3.98443400e+02, -3.4397e+01, -1.8010e+02, -2.7749e+01, -1.1651e+02, -6.6482e+00, -6.3590e+01
4.11769683e+02, -3.4570e+01, -1.8145e+02, -2.7464e+01, -1.1868e+02, -7.1059e+00, -6.2764e+01
4.25541675e+02, -3.4272e+01, -1.8172e+02, -2.7337e+01, -1.1813e+02, -6.9353e+00, -6.3595e+01
